cwe,cve_id,aliases,dependency,project,fix_available,affected_versions,epss_score,base_cvss,cvss_version,remediation,remediation_action
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a1d19e82e5e5364879,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.11.0,698626a1d19e82e5e5364879,1.13.5,1.11.0,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
20,CVE-2025-15284,"GHSA-6rw7-vpxm-498p,CVE-2025-15284",npm://qs@6.14.0,698626a1d19e82e5e5364879,6.14.1,6.14.0,0.00193,7.5,3,"Update ts-service-user-org@4.3.22 to use qs version 6.14.1 (current: 6.14.0, latest: 6.15.0).",FINDING_REMEDIATION_UPGRADE
770,CVE-2025-58754,"GHSA-4hjh-wcwx-xvwj,CVE-2025-58754",npm://axios@1.11.0,698626a033f1ecc1eb7de899,1.12.0,1.11.0,0.00102,7.5,3,"Upgrade axios to version 1.12.0 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.11.0,698626a033f1ecc1eb7de899,1.13.5,1.11.0,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a033f1ecc1eb7de899,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a033f1ecc1eb7de83c,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.12.1,698626a033f1ecc1eb7de83c,1.13.5,1.12.1,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.12.1, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.11.0,698626a081142d2263c6f36d,1.13.5,1.11.0,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a081142d2263c6f36d,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
